2166,Person,2024-12-03 10:20:05,2024-12-03 10:20:12,"{""box"":{""left"":4412,""right"":7875,""top"":5487,""bottom"":10000},""time"":1733188805506},{""box"":{""left"":4412,""right"":7875,""top"":5487,""bottom"":10000},""time"":1733188806079},{""box"":{""left"":4412,""right"":7875,""top"":5487,""bottom"":10000},""time"":1733188807018},{""box"":{""left"":4412,""right"":7875,""top"":5487,""bottom"":10000},""time"":1733188808052},{""box"":{""left"":4412,""right"":7875,""top"":5487,""bottom"":10000},""time"":1733188809028},{""box"":{""left"":4412,""right"":7875,""top"":5487,""bottom"":10000},""time"":1733188810015},{""box"":{""left"":4412,""right"":7875,""top"":5487,""bottom"":10000},""time"":1733188811004},{""box"":{""left"":4412,""right"":7875,""top"":5487,""bottom"":10000},""time"":1733188812037}",,,,,
2167,Face,2024-12-03 10:20:08,2024-12-03 10:20:13,"{""box"":{""left"":6215,""right"":4663,""top"":6581,""bottom"":5132},""time"":1733188808767},{""box"":{""left"":3999,""right"":6473,""top"":4432,""bottom"":7195},""time"":1733188813056}","18,24",male,,,
2168,Face,2024-12-03 10:20:14,2024-12-03 10:20:14,"{""box"":{""left"":4106,""right"":8619,""top"":4491,""bottom"":9152},""time"":1733188814214}","55,64",male,,,
2169,Person,2024-12-03 10:20:18,2024-12-03 10:20:30,"{""box"":{""left"":1762,""right"":2427,""top"":1930,""bottom"":3437},""time"":1733188818457},{""box"":{""left"":1762,""right"":2427,""top"":1930,""bottom"":3437},""time"":1733188819028},{""box"":{""left"":1762,""right"":2427,""top"":1930,""bottom"":3437},""time"":1733188822035},{""box"":{""left"":1762,""right"":2427,""top"":1930,""bottom"":3437},""time"":1733188823004},{""box"":{""left"":1762,""right"":2427,""top"":1930,""bottom"":3437},""time"":1733188824032},{""box"":{""left"":1762,""right"":2427,""top"":1930,""bottom"":3437},""time"":1733188825002},{""box"":{""left"":1762,""right"":2427,""top"":1930,""bottom"":3437},""time"":1733188826016},{""box"":{""left"":1762,""right"":2427,""top"":1930,""bottom"":3437},""time"":1733188827040},{""box"":{""left"":1762,""right"":2427,""top"":1930,""bottom"":3437},""time"":1733188828005},{""box"":{""left"":1762,""right"":2427,""top"":1930,""bottom"":3437},""time"":1733188829043},{""box"":{""left"":1762,""right"":2427,""top"":1930,""bottom"":3437},""time"":1733188830003}",,,,,
2170,Person,2024-12-03 10:20:18,2024-12-03 10:20:18,"{""box"":{""left"":5942,""right"":1770,""top"":6117,""bottom"":2500},""time"":1733188818693}",,,,,
2171,Person,2024-12-03 10:20:19,2024-12-03 10:20:56,"{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188819323},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188820047},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188821003},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188822037},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188823006},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188824033},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188825004},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188826018},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188827042},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188828007},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188829045},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188830001},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188831035},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188832007},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188833007},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188834027},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188835001},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188836041},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188837008},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188838003},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188839032},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188840015},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188841054},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188842036},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188843001},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188844040},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188845010},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188846050},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188847017},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188848037},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188849021},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188850035},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188851035},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188852003},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188853038},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188854008},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188855001},{""box"":{""left"":1775,""right"":3062,""top"":2249,""bottom"":4937},""time"":1733188856023}",,,,,
2173,Person,2024-12-03 10:20:25,2024-12-03 10:20:57,"{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188825280},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188826020},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188827044},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188828009},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188829047},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188830005},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188831040},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188832010},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188833010},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188834029},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188835002},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188836043},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188837070},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188838005},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188839036},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188840017},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188841057},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188842602},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188843581},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188844046},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188845942},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188846056},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188847020},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188848103},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188849024},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188850161},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188851037},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188852005},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188853040},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188854297},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188855003},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188856025},{""box"":{""left"":6831,""right"":2552,""top"":7139,""bottom"":4317},""time"":1733188857055}",,,,,
2174,Person,2024-12-03 10:20:25,2024-12-03 10:20:39,"{""box"":{""left"":1775,""right"":2718,""top"":1968,""bottom"":3770},""time"":1733188825569},{""box"":{""left"":1775,""right"":2718,""top"":1968,""bottom"":3770},""time"":1733188829048},{""box"":{""left"":1775,""right"":2718,""top"":1968,""bottom"":3770},""time"":1733188830008},{""box"":{""left"":1775,""right"":2718,""top"":1968,""bottom"":3770},""time"":1733188831042},{""box"":{""left"":1775,""right"":2718,""top"":1968,""bottom"":3770},""time"":1733188832012},{""box"":{""left"":1775,""right"":2718,""top"":1968,""bottom"":3770},""time"":1733188833012},{""box"":{""left"":1775,""right"":2718,""top"":1968,""bottom"":3770},""time"":1733188834030},{""box"":{""left"":1775,""right"":2718,""top"":1968,""bottom"":3770},""time"":1733188835004},{""box"":{""left"":1775,""right"":2718,""top"":1968,""bottom"":3770},""time"":1733188836044},{""box"":{""left"":1775,""right"":2718,""top"":1968,""bottom"":3770},""time"":1733188837008},{""box"":{""left"":1775,""right"":2718,""top"":1968,""bottom"":3770},""time"":1733188838004},{""box"":{""left"":1775,""right"":2718,""top"":1968,""bottom"":3770},""time"":1733188839034}",,,,,
2175,Person,2024-12-03 10:20:31,2024-12-03 10:21:13,"{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188831666},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188832013},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188833015},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188834032},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188835006},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188836044},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188837009},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188838007},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188839037},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188840018},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188841059},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188842040},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188843005},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188844042},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188845013},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188846053},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188847022},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188848100},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188849025},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188850160},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188851038},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188852006},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188853040},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188854298},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188855004},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188856025},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188857053},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188858011},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188859025},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188860042},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188861002},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188862011},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188863047},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188864052},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188865024},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188866044},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188867005},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188868010},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188869038},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188870024},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188871025},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188872043},{""box"":{""left"":6837,""right"":2458,""top"":7212,""bottom"":4395},""time"":1733188873008}",,,,,
2176,Face,2024-12-03 10:20:32,2024-12-03 10:20:32,"{""box"":{""left"":4664,""right"":4913,""top"":5007,""bottom"":5382},""time"":1733188832241}","35,44",female,,,
